Palabra,Repeticiones
explain,1
very,1
don't,1
told,1
about,1
issues,1
years,1
without,1
losing,1
fatigue,1
would,1
usually,1
sure,1
having,1
going,1
old,1
work,1
myself,1
lose,2
night,1
milk,1
drink,1
morning,2
trying,1
anyone,1
kira,1
care,1
deal,1
stretches,1
yoshikage,1
matter,1
i'm,4
eight,1
sleep,2
how,1
are,1
get,2
occasionally,1
have,1
where,1
after,1
quiet,1
kame,1
latest,1
twenty,1
stress,1
wouldn't,1
stores,1
enemies,1
the,5
married,1
but,1
bed,2
before,1
section,1
employee,1
that,4
wake,1
brings,1
wishes,1
day,1
all,1
glass,1
morioh,1
last,1
like,2
minutes,1
check,1
take,1
warm,1
villas,1
were,2
person,1
name,1
know,1
problems,1
who,1
doing,1
for,1
cause,1
house,1
sleeping,1
life,1
not,2
society,1
happiness,1
and,6
trouble,1
department,1
every,1
make,1
just,1
live,1
fight,1
hours,1
winning,1
smoke,1
was,1
northeast,1
any,2
home,1
with,2
what,2
although,1
there,1
baby,1
until,1
